token,normalized_token,target_section,source,reviewer_correction,validation_status,quantity,page_number,bbox,ocr_confidence,line_context
2L-2X2X5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2X2X5/16 ASTM A36,2L2X2X5/16ASTMA36,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2 X 2 X 5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L Shape 2L2X2X5/16,2LSHAPE2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
LL Angle-2L2X2X5/16,LLANGLE2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2l2x2x5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16 ASTM A36,DOUBLEANGLE2L2X2X5/16ASTMA36,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L_2X2X5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2X2X5/16 Double Angle,2L2X2X5/16DOUBLEANGLE,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2X2X5/16 LL Angle,2L2X2X5/16LLANGLE,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2 X 2X5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
LL Angle 2L2X2X5/16,LLANGLE2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L 2X2X5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2X2X5/16 2L Shape,2L2X2X5/162LSHAPE,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L 2 X 2 X 5/16,2L2X2X5/16,2L2X2X5/16,aisc_augmented,False,reference,,,,,
2L2X2X5/16 A36,2L2X2X5/16A36,2L2X2X5/16,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16 A36,DOUBLEANGLE2L2X2X5/16A36,2L2X2X5/16,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/4,DOUBLEANGLE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L Shape 2L2X2X5/16X3/4,2LSHAPE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2 X 2 X 5/16 X 3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L 2X2X5/16X3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4 Double Angle,2L2X2X5/16X3/4DOUBLEANGLE,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4 2L Shape,2L2X2X5/16X3/42LSHAPE,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4 LL Angle,2L2X2X5/16X3/4LLANGLE,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L-2X2X5/16X3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2×2×5/16×3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4 A36,2L2X2X5/16X3/4A36,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
LL Angle-2L2X2X5/16X3/4,LLANGLE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L 2 X 2 X 5/16 X 3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/4 ASTM A36,DOUBLEANGLE2L2X2X5/16X3/4ASTMA36,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
LL Angle 2L2X2X5/16X3/4,LLANGLE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/4 ASTM A36,2L2X2X5/16X3/4ASTMA36,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2 X 2X5/16X3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L Shape-2L2X2X5/16X3/4,2LSHAPE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2XS/16X3/4,2L2X2XS/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
Double Angle-2L2X2X5/16X3/4,DOUBLEANGLE2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L2X2X5/I6X3/4,2L2X2X5/I6X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/4 A36,DOUBLEANGLE2L2X2X5/16X3/4A36,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
2L_2X2X5/16X3/4,2L2X2X5/16X3/4,2L2X2X5/16X3/4,aisc_augmented,False,reference,,,,,
Double Angle-2L2X2X5/16X3/8,DOUBLEANGLE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/B,2L2X2X5/16X3/B,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/8 Double Angle,2L2X2X5/16X3/8DOUBLEANGLE,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/8 ASTM A36,DOUBLEANGLE2L2X2X5/16X3/8ASTMA36,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/8 A36,2L2X2X5/16X3/8A36,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L Shape-2L2X2X5/16X3/8,2LSHAPE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/I6X3/8,2L2X2X5/I6X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L 2 X 2 X 5/16 X 3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/8 ASTM A36,2L2X2X5/16X3/8ASTMA36,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/8 2L Shape,2L2X2X5/16X3/82LSHAPE,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2X5/16X3/8 LL Angle,2L2X2X5/16X3/8LLANGLE,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
LL Angle-2L2X2X5/16X3/8,LLANGLE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L_2X2X5/16X3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L-2X2X5/16X3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/8 A36,DOUBLEANGLE2L2X2X5/16X3/8A36,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2l2x2x5/16x3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2×2×5/16×3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L Shape 2L2X2X5/16X3/8,2LSHAPE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2 X 2X5/16X3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
LL Angle 2L2X2X5/16X3/8,LLANGLE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L 2X2X5/16X3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
Double Angle 2L2X2X5/16X3/8,DOUBLEANGLE2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2 X 2 X 5/16 X 3/8,2L2X2X5/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L2X2XS/16X3/8,2L2X2XS/16X3/8,2L2X2X5/16X3/8,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2LLBB 2L Shape,2L31/2X21/2X1/2LLBB2LSHAPE,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2LLBB A36,DOUBLEANGLE2L31/2X21/2X1/2LLBBA36,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2LLBB A36,2L31/2X21/2X1/2LLBBA36,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L3I/2X21/2X1/2LLBB,2L3I/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L-31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X2I/2X1/2LLBB,2L31/2X2I/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2 X 1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L 31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2l31/2x21/2x1/2llbb,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2LLBB,DOUBLEANGLE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2XI/2LLBB,2L31/2X21/2XI/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2LLBB ASTM A36,DOUBLEANGLE2L31/2X21/2X1/2LLBBASTMA36,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
Double Angle-2L31/2X21/2X1/2LLBB,DOUBLEANGLE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2LLBB LL Angle,2L31/2X21/2X1/2LLBBLLANGLE,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L 31/2 X 21/2 X 1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
LL Angle-2L31/2X21/2X1/2LLBB,LLANGLE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2×21/2×1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2LLBB ASTM A36,2L31/2X21/2X1/2LLBBASTMA36,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
LL Angle 2L31/2X21/2X1/2LLBB,LLANGLE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L_31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L Shape 2L31/2X21/2X1/2LLBB,2LSHAPE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2LLBB Double Angle,2L31/2X21/2X1/2LLBBDOUBLEANGLE,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L Shape-2L31/2X21/2X1/2LLBB,2LSHAPE2L31/2X21/2X1/2LLBB,2L31/2X21/2X1/2LLBB,aisc_augmented,False,reference,,,,,
2L 31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
Double Angle-2L31/2X21/2X1/2SLBB,DOUBLEANGLE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2XI/2SLBB,2L31/2X21/2XI/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L_31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
LL Angle 2L31/2X21/2X1/2SLBB,LLANGLE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
LL Angle-2L31/2X21/2X1/2SLBB,LLANGLE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L3I/2X21/2X1/2SLBB,2L3I/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2SLBB,DOUBLEANGLE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2SLBB ASTM A36,DOUBLEANGLE2L31/2X21/2X1/2SLBBASTMA36,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2l31/2x21/2x1/2slbb,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2SLBB Double Angle,2L31/2X21/2X1/2SLBBDOUBLEANGLE,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2SLBB 2L Shape,2L31/2X21/2X1/2SLBB2LSHAPE,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2×21/2×1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L Shape-2L31/2X21/2X1/2SLBB,2LSHAPE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2 X 1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L-31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2SLBB LL Angle,2L31/2X21/2X1/2SLBBLLANGLE,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X2I/2X1/2SLBB,2L31/2X2I/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L Shape 2L31/2X21/2X1/2SLBB,2LSHAPE2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2SLBB A36,2L31/2X21/2X1/2SLBBA36,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2SLBB ASTM A36,2L31/2X21/2X1/2SLBBASTMA36,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2SLBB A36,DOUBLEANGLE2L31/2X21/2X1/2SLBBA36,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L 31/2 X 21/2 X 1/2SLBB,2L31/2X21/2X1/2SLBB,2L31/2X21/2X1/2SLBB,aisc_augmented,False,reference,,,,,
2L31/2×21/2×1/2×3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L 31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB Double Angle,2L31/2X21/2X1/2X3/4LLBBDOUBLEANGLE,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2 X 1/2 X 3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB LL Angle,2L31/2X21/2X1/2X3/4LLBBLLANGLE,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L3I/2X21/2X1/2X3/4LLBB,2L3I/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
LL Angle 2L31/2X21/2X1/2X3/4LLBB,LLANGLE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L Shape 2L31/2X21/2X1/2X3/4LLBB,2LSHAPE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L Shape-2L31/2X21/2X1/2X3/4LLBB,2LSHAPE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L 31/2 X 21/2 X 1/2 X 3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB 2L Shape,2L31/2X21/2X1/2X3/4LLBB2LSHAPE,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
Double Angle-2L31/2X21/2X1/2X3/4LLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X2I/2X1/2X3/4LLBB,2L31/2X2I/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L-31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4LLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2XI/2X3/4LLBB,2L31/2X21/2XI/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L_31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4LLBB ASTM A36,DOUBLEANGLE2L31/2X21/2X1/2X3/4LLBBASTMA36,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4LLBB A36,DOUBLEANGLE2L31/2X21/2X1/2X3/4LLBBA36,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB ASTM A36,2L31/2X21/2X1/2X3/4LLBBASTMA36,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4LLBB A36,2L31/2X21/2X1/2X3/4LLBBA36,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
LL Angle-2L31/2X21/2X1/2X3/4LLBB,LLANGLE2L31/2X21/2X1/2X3/4LLBB,2L31/2X21/2X1/2X3/4LLBB,aisc_augmented,False,reference,,,,,
2L 31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L3I/2X21/2X1/2X3/4SLBB,2L3I/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L-31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4SLBB LL Angle,2L31/2X21/2X1/2X3/4SLBBLLANGLE,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
LL Angle-2L31/2X21/2X1/2X3/4SLBB,LLANGLE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4SLBB Double Angle,2L31/2X21/2X1/2X3/4SLBBDOUBLEANGLE,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L Shape-2L31/2X21/2X1/2X3/4SLBB,2LSHAPE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L 31/2 X 21/2 X 1/2 X 3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2 X 1/2 X 3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L_31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4SLBB A36,2L31/2X21/2X1/2X3/4SLBBA36,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4SLBB A36,DOUBLEANGLE2L31/2X21/2X1/2X3/4SLBBA36,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
LL Angle 2L31/2X21/2X1/2X3/4SLBB,LLANGLE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2l31/2x21/2x1/2x3/4slbb,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X2I/2X1/2X3/4SLBB,2L31/2X2I/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L Shape 2L31/2X21/2X1/2X3/4SLBB,2LSHAPE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4SLBB ASTM A36,DOUBLEANGLE2L31/2X21/2X1/2X3/4SLBBASTMA36,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
Double Angle-2L31/2X21/2X1/2X3/4SLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2XI/2X3/4SLBB,2L31/2X21/2XI/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2×21/2×1/2×3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4SLBB ASTM A36,2L31/2X21/2X1/2X3/4SLBBASTMA36,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/4SLBB 2L Shape,2L31/2X21/2X1/2X3/4SLBB2LSHAPE,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/4SLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/4SLBB,2L31/2X21/2X1/2X3/4SLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/8LLBB LL Angle,2L31/2X21/2X1/2X3/8LLBBLLANGLE,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L3I/2X21/2X1/2X3/8LLBB,2L3I/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2 X 21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/BLLBB,2L31/2X21/2X1/2X3/BLLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/8LLBB A36,DOUBLEANGLE2L31/2X21/2X1/2X3/8LLBBA36,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/8LLBB Double Angle,2L31/2X21/2X1/2X3/8LLBBDOUBLEANGLE,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X2I/2X1/2X3/8LLBB,2L31/2X2I/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/8LLBB ASTM A36,DOUBLEANGLE2L31/2X21/2X1/2X3/8LLBBASTMA36,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
Double Angle 2L31/2X21/2X1/2X3/8LLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2XI/2X3/8LLBB,2L31/2X21/2XI/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
Double Angle-2L31/2X21/2X1/2X3/8LLBB,DOUBLEANGLE2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L 31/2 X 21/2 X 1/2 X 3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2X21/2X1/2X3/8LLBB 2L Shape,2L31/2X21/2X1/2X3/8LLBB2LSHAPE,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
2L31/2×21/2×1/2×3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,2L31/2X21/2X1/2X3/8LLBB,aisc_augmented,False,reference,,,,,
